"category,id,providerName,planName,price,priceUnit,description,keyFeatures,logoUrl,providerColor,directUrl,rating,isSponsored,isGreen"
"electricity,nsw_tango_everyday,Tango Energy,Everyday Easy,113,/mo,Electricity/gas bundle,Estimated $1,350/year|Daily 85.25c|Peak 25.96c/kWh|No solar FIT|eBilling/Direct Debit,https://www.tangoenergy.com/logo.png,#00C08B,https://tangoenergy.com.au/plans,4.0,FALSE,FALSE"
"electricity,nsw_tango_bonus,Tango Energy,Bonus Booster,106,/mo,$150 elec + $50 gas credits,Estimated $1,274/year|Daily 91.3c|Peak 27.28c/kWh|No solar FIT|eBilling/Direct Debit,https://www.tangoenergy.com/logo.png,#00C08B,https://tangoenergy.com.au/plans,4.0,FALSE,FALSE"
"electricity,nsw_tango_back,Tango Energy,Back to Basics,119,/mo,Choose payment method,Estimated $1,424/year|Daily 91.3c|Peak 27.28c/kWh|No solar FIT|No lock-in,https://www.tangoenergy.com/logo.png,#00C08B,https://tangoenergy.com.au/plans,4.0,FALSE,FALSE"
"electricity,nsw_origin_solarboost,Origin Energy,Solar Boost,1500,/yr,Higher solar feed-in with no lock-in,10% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 90c|Usage: 28c/kWh,https://www.originenergy.com.au/logo.png,#FF6600,https://www.originenergy.com.au/energy-plans,4.2,FALSE,TRUE"
"electricity,nsw_origin_gosolar,Origin Energy,Go Solar Variable,1600,/yr,Great for solar owners,15% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 90c|Usage: 28c/kWh,https://www.originenergy.com.au/logo.png,#FF6600,https://www.originenergy.com.au/energy-plans,4.2,FALSE,TRUE"
"electricity,nsw_redenergy_qantas,Red Energy,Qantas Red Saver,1450,/yr,Variable rates with no lock-in,10% discount|Qantas points|Variable rates|Solar feed-in 6c/kWh|Daily supply: 85c|Usage: 32c/kWh,https://www.redenergy.com.au/logo.png,#CC0000,https://www.redenergy.com.au/plans,3.8,FALSE,FALSE"
"electricity,nsw_redenergy_livingenergy,Red Energy,Living Energy Saver,1550,/yr,Great for families,15% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 85c|Usage: 32c/kWh,https://www.redenergy.com.au/logo.png,#CC0000,https://www.redenergy.com.au/plans,3.8,FALSE,FALSE"
"electricity,nsw_sumo_assured,Sumo,Assured Energy,1400,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 4c/kWh|Daily supply: 88c|Usage: 30c/kWh,https://www.sumoelectrical.com.au/logo.png,#0066CC,https://www.sumoelectrical.com.au/plans,3.5,FALSE,FALSE"
"electricity,nsw_sumo_saver,Sumo,Sumo Saver,1350,/yr,Great value plan,15% discount|Variable rates|Solar feed-in 4c/kWh|Daily supply: 88c|Usage: 30c/kWh,https://www.sumoelectrical.com.au/logo.png,#0066CC,https://www.sumoelectrical.com.au/plans,3.5,FALSE,FALSE"
"electricity,nsw_powershop_standard,Powershop,Standard Saver,1450,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 92c|Usage: 33c/kWh,https://powershop.com.au/logo.png,#00CC00,https://powershop.com.au/plans,3.7,FALSE,FALSE"
"electricity,nsw_powershop_solar,Powershop,Shopper Solar,1400,/yr,Higher solar feed-in,12% discount|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 92c|Usage: 33c/kWh,https://powershop.com.au/logo.png,#00CC00,https://powershop.com.au/plans,3.7,FALSE,TRUE"
"electricity,nsw_lumo_value,Lumo Energy,Value Green,1480,/yr,Variable rates with no lock-in,10% discount|Green energy option|Variable rates|Solar feed-in 5c/kWh|Daily supply: 90c|Usage: 31c/kWh,https://www.lumoenergy.com.au/logo.png,#FF9900,https://www.lumoenergy.com.au/energy-plans,3.6,FALSE,TRUE"
"electricity,nsw_lumo_solar,Lumo Energy,Lumo Solar,1380,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 90c|Usage: 31c/kWh,https://www.lumoenergy.com.au/logo.png,#FF9900,https://www.lumoenergy.com.au/energy-plans,3.6,FALSE,TRUE"
"electricity,nsw_dodo_market,Dodo,Market Offer,1420,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 4c/kWh|Daily supply: 85c|Usage: 29c/kWh,https://www.dodo.com/logo.png,#FF6600,https://www.dodo.com/energy-plans,3.4,FALSE,FALSE"
"electricity,nsw_dodo_solar,Dodo,Dodo Solar,1350,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 85c|Usage: 29c/kWh,https://www.dodo.com/logo.png,#FF6600,https://www.dodo.com/energy-plans,3.4,FALSE,TRUE"
"electricity,nsw_covau_freedom,CovaU,Freedom Plan,1450,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 88c|Usage: 32c/kWh,https://www.covau.com.au/logo.png,#0099CC,https://www.covau.com.au/plans,3.2,FALSE,FALSE"
"electricity,nsw_covau_solar,CovaU,Solar Plan,1380,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 88c|Usage: 32c/kWh,https://www.covau.com.au/logo.png,#0099CC,https://www.covau.com.au/plans,3.2,FALSE,TRUE"
"electricity,nsw_diamond_thrive,Diamond Energy,Thrive Plan,1480,/yr,Variable rates with no lock-in,10% discount|Green energy|Variable rates|Solar feed-in 5c/kWh|Daily supply: 90c|Usage: 31c/kWh,https://diamondenergy.com.au/logo.png,#00CC33,https://diamondenergy.com.au/plans,3.9,FALSE,TRUE"
"electricity,nsw_diamond_solar,Diamond Energy,Diamond Solar,1380,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 90c|Usage: 31c/kWh,https://diamondenergy.com.au/logo.png,#00CC33,https://diamondenergy.com.au/plans,3.9,FALSE,TRUE"
"electricity,nsw_globird_boost,GloBird Energy,Boost Plan,1420,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 4c/kWh|Daily supply: 85c|Usage: 29c/kWh,https://globirdenergy.com.au/logo.png,#FFCC00,https://globirdenergy.com.au/plans,3.3,FALSE,FALSE"
"electricity,nsw_globird_solar,GloBird Energy,GloBird Solar,1350,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 85c|Usage: 29c/kWh,https://globirdenergy.com.au/logo.png,#FFCC00,https://globirdenergy.com.au/plans,3.3,FALSE,TRUE"
"electricity,nsw_amber_wholesale,Amber Electric,Wholesale Plan,0,/yr,Variable rates with no lock-in,Wholesale rates|Solar feed-in market rate|Variable rates|Daily supply: 85c|Usage: variable,https://amber.com.au/logo.png,#00CC99,https://amber.com.au/pricing,3.7,FALSE,FALSE"
"electricity,nsw_amber_solar,Amber Electric,Amber Solar Plan,0,/yr,Higher solar feed-in,Wholesale rates|Solar feed-in market rate + premium|Variable rates|Daily supply: 85c|Usage: variable,https://amber.com.au/logo.png,#00CC99,https://amber.com.au/pricing,3.7,FALSE,TRUE"
"electricity,nsw_alinta_home,Alinta Energy,Home Deal,1450,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 88c|Usage: 30c/kWh,https://alintaenergy.com.au/logo.png,#FF0000,https://alintaenergy.com.au/residential/plans,3.5,FALSE,FALSE"
"electricity,nsw_alinta_solar,Alinta Energy,Solar Deal,1380,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 88c|Usage: 30c/kWh,https://alintaenergy.com.au/logo.png,#FF0000,https://alintaenergy.com.au/residential/plans,3.5,FALSE,TRUE"
"electricity,nsw_engin_saver,ENGIE,Saver Plan,1420,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 4c/kWh|Daily supply: 85c|Usage: 29c/kWh,https://www.engie.com.au/logo.png,#009966,https://www.engie.com.au/plans,3.4,FALSE,FALSE"
"electricity,nsw_engin_solar,ENGIE,Solar Plan,1350,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 85c|Usage: 29c/kWh,https://www.engie.com.au/logo.png,#009966,https://www.engie.com.au/plans,3.4,FALSE,TRUE"
"electricity,nsw_energy_locals_online,Energy Locals,Online Member,0,/yr,Variable rates with no lock-in,Wholesale rates|Solar feed-in market rate|Variable rates|Daily supply: 80c|Usage: variable,https://energylocals.com.au/logo.png,#00CC66,https://energylocals.com.au/plans,3.8,FALSE,FALSE"
"electricity,nsw_energy_locals_solar,Energy Locals,Solar Member,0,/yr,Higher solar feed-in,Wholesale rates|Solar feed-in market rate + premium|Variable rates|Daily supply: 80c|Usage: variable,https://energylocals.com.au/logo.png,#00CC66,https://energylocals.com.au/plans,3.8,FALSE,TRUE"
"electricity,nsw_momentum_smile,Momentum Energy,SmilePower Flexi,1480,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 90c|Usage: 31c/kWh,https://www.momentumenergy.com.au/logo.png,#FFCC00,https://www.momentumenergy.com.au/plans,3.6,FALSE,FALSE"
"electricity,nsw_momentum_solar,Momentum Energy,Solar Step-Up,1380,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 90c|Usage: 31c/kWh,https://www.momentumenergy.com.au/logo.png,#FFCC00,https://www.momentumenergy.com.au/plans,3.6,FALSE,TRUE"
"electricity,nsw_ovo_drive,OVO Energy,The EV Plan,0,/yr,Variable rates with no lock-in,EV charging credits|Variable rates|Solar feed-in 5c/kWh|Daily supply: 85c|Usage: 30c/kWh,https://ovoenergy.com.au/logo.png,#0099FF,https://ovoenergy.com.au/plans,3.5,FALSE,FALSE"
"electricity,nsw_ovo_solar,OVO Energy,The Solar Plan,0,/yr,Higher solar feed-in,EV charging credits|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 85c|Usage: 30c/kWh,https://ovoenergy.com.au/logo.png,#0099FF,https://ovoenergy.com.au/plans,3.5,FALSE,TRUE"
"electricity,nsw_nectr_clean,Nectr,Clean Plan,1480,/yr,Variable rates with no lock-in,10% discount|Green energy|Variable rates|Solar feed-in 5c/kWh|Daily supply: 90c|Usage: 31c/kWh,https://nectr.com.au/logo.png,#00CC99,https://nectr.com.au/plans,3.4,FALSE,TRUE"
"electricity,nsw_nectr_solar,Nectr,Nectr Solar,1380,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 10c/kWh|Variable rates|Daily supply: 90c|Usage: 31c/kWh,https://nectr.com.au/logo.png,#00CC99,https://nectr.com.au/plans,3.4,FALSE,TRUE"
"electricity,nsw_actewagl_smart,ActewAGL,Smart Saver,129,/mo,Great for families with no lock-in,16% less than Reference Price|No lock-in|Variable rates|Solar feed-in 4c/kWh|Daily supply: 100c|Usage: 30c/kWh,https://www.actewagl.com.au/logo.png,#CC0000,https://www.actewagl.com.au/plans,3.5,FALSE,FALSE"
"electricity,nsw_commander_value,Commander,Value Plan,1450,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 5c/kWh|Daily supply: 88c|Usage: 30c/kWh,https://www.commander.com/logo.png,#0099CC,https://www.commander.com/plans,3.2,FALSE,FALSE"
"electricity,vic_agl_smartsaver,AGL,Smart Saver,1392,/yr,Great for families with no lock-in,10% less than VDO|Daily supply: 127.31c|Usage: 31.28c/kWh|Solar feed-in 1.5c/kWh|Variable rates,https://upload.wikimedia.org/wikipedia/commons/4/4a/AGL_Energy_logo.svg,#ED0000,https://www.agl.com.au/residential/energy-plans,3.5,FALSE,FALSE"
"electricity,vic_agl_seniorssaver,AGL,Seniors Saver,1330,/yr,Great for seniors with no lock-in,14% less than VDO|Variable rates|Daily supply: 120c|Usage: 30c/kWh,https://upload.wikimedia.org/wikipedia/commons/4/4a/AGL_Energy_logo.svg,#ED0000,https://www.agl.com.au/residential/energy-plans,3.5,FALSE,FALSE"
"electricity,vic_energyaus_home365,EnergyAustralia,Home 365,1314,/yr,Variable rates with 12-month contract,15% less than VDO|Daily supply: 110c|Usage: 28c/kWh|Variable rates,https://www.energyaustralia.com.au/logo.png,#00A651,https://www.energyaustralia.com.au/plans,4.3,FALSE,FALSE"
"electricity,vic_tango_everyday,Tango Energy,Everyday Easy,113,/mo,Electricity/gas bundle,13% less than VDO|Daily supply: 85.25c|Peak: 25.96c/kWh|No solar FIT|eBilling/Direct Debit,https://www.tangoenergy.com/logo.png,#00C08B,https://tangoenergy.com.au/plans,4.0,FALSE,FALSE"
"electricity,vic_tango_bonus,Tango Energy,Bonus Booster,106,/mo,$150 elec + $50 gas credits,Estimated $1,274/year|Daily 91.3c|Peak: 27.28c/kWh|No solar FIT|eBilling/Direct Debit,https://www.tangoenergy.com/logo.png,#00C08B,https://tangoenergy.com.au/plans,4.0,FALSE,FALSE"
"electricity,vic_tango_back,Tango Energy,Back to Basics,119,/mo,Choose payment method,Estimated $1,424/year|Daily 91.3c|Peak: 27.28c/kWh|No solar FIT|No lock-in,https://www.tangoenergy.com/logo.png,#00C08B,https://tangoenergy.com.au/plans,4.0,FALSE,FALSE"
"electricity,vic_origin_solarboost,Origin Energy,Solar Boost,1300,/yr,Higher solar feed-in with no lock-in,10% discount|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 115c|Usage: 29c/kWh,https://www.originenergy.com.au/logo.png,#FF6600,https://www.originenergy.com.au/energy-plans,4.2,FALSE,TRUE"
"electricity,vic_origin_gosolar,Origin Energy,Go Solar Variable,1250,/yr,Great for solar owners,15% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 115c|Usage: 29c/kWh,https://www.originenergy.com.au/logo.png,#FF6600,https://www.originenergy.com.au/energy-plans,4.2,FALSE,TRUE"
"electricity,vic_redenergy_qantas,Red Energy,Qantas Red Saver,1280,/yr,Variable rates with no lock-in,10% discount|Qantas points|Variable rates|Solar feed-in 3c/kWh|Daily supply: 110c|Usage: 28c/kWh,https://www.redenergy.com.au/logo.png,#CC0000,https://www.redenergy.com.au/plans,3.8,FALSE,FALSE"
"electricity,vic_redenergy_livingenergy,Red Energy,Living Energy Saver,1230,/yr,Great for families,15% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 110c|Usage: 28c/kWh,https://www.redenergy.com.au/logo.png,#CC0000,https://www.redenergy.com.au/plans,3.8,FALSE,FALSE"
"electricity,vic_sumo_assured,Sumo,Assured Energy,1300,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 112c|Usage: 27c/kWh,https://www.sumoelectrical.com.au/logo.png,#0066CC,https://www.sumoelectrical.com.au/plans,3.5,FALSE,FALSE"
"electricity,vic_sumo_saver,Sumo,Sumo Saver,1250,/yr,Great value plan,15% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 112c|Usage: 27c/kWh,https://www.sumoelectrical.com.au/logo.png,#0066CC,https://www.sumoelectrical.com.au/plans,3.5,FALSE,FALSE"
"electricity,vic_powershop_standard,Powershop,Standard Saver,1280,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 115c|Usage: 29c/kWh,https://powershop.com.au/logo.png,#00CC00,https://powershop.com.au/plans,3.7,FALSE,FALSE"
"electricity,vic_powershop_solar,Powershop,Shopper Solar,1230,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 115c|Usage: 29c/kWh,https://powershop.com.au/logo.png,#00CC00,https://powershop.com.au/plans,3.7,FALSE,TRUE"
"electricity,vic_lumo_value,Lumo Energy,Value Green,1300,/yr,Variable rates with no lock-in,12% discount|Green energy option|Variable rates|Solar feed-in 3c/kWh|Daily supply: 110c|Usage: 28c/kWh,https://www.lumoenergy.com.au/logo.png,#FF9900,https://www.lumoenergy.com.au/energy-plans,3.6,FALSE,TRUE"
"electricity,vic_lumo_solar,Lumo Energy,Lumo Solar,1250,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 8c/kWh|Variable rates|Daily supply: 110c|Usage: 28c/kWh,https://www.lumoenergy.com.au/logo.png,#FF9900,https://www.lumoenergy.com.au/energy-plans,3.6,FALSE,TRUE"
"electricity,vic_dodo_market,Dodo,Market Offer,1280,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 108c|Usage: 27c/kWh,https://www.dodo.com/logo.png,#FF6600,https://www.dodo.com/energy-plans,3.4,FALSE,FALSE"
"electricity,vic_dodo_solar,Dodo,Dodo Solar,1230,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 108c|Usage: 27c/kWh,https://www.dodo.com/logo.png,#FF6600,https://www.dodo.com/energy-plans,3.4,FALSE,TRUE"
"electricity,vic_covau_freedom,CovaU,Freedom Plan,1300,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 112c|Usage: 27c/kWh,https://www.covau.com.au/logo.png,#0099CC,https://www.covau.com.au/plans,3.2,FALSE,FALSE"
"electricity,vic_covau_solar,CovaU,Solar Plan,1250,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 112c|Usage: 27c/kWh,https://www.covau.com.au/logo.png,#0099CC,https://www.covau.com.au/plans,3.2,FALSE,TRUE"
"electricity,vic_diamond_thrive,Diamond Energy,Thrive Plan,1300,/yr,Variable rates with no lock-in,12% discount|Green energy|Variable rates|Solar feed-in 3c/kWh|Daily supply: 110c|Usage: 28c/kWh,https://diamondenergy.com.au/logo.png,#00CC33,https://diamondenergy.com.au/plans,3.9,FALSE,TRUE"
"electricity,vic_diamond_solar,Diamond Energy,Diamond Solar,1250,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 110c|Usage: 28c/kWh,https://diamondenergy.com.au/logo.png,#00CC33,https://diamondenergy.com.au/plans,3.9,FALSE,TRUE"
"electricity,vic_globird_boost,GloBird Energy,Boost Plan,1280,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 108c|Usage: 27c/kWh,https://globirdenergy.com.au/logo.png,#FFCC00,https://globirdenergy.com.au/plans,3.3,FALSE,FALSE"
"electricity,vic_globird_solar,GloBird Energy,GloBird Solar,1230,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 108c|Usage: 27c/kWh,https://globirdenergy.com.au/logo.png,#FFCC00,https://globirdenergy.com.au/plans,3.3,FALSE,TRUE"
"electricity,vic_amber_wholesale,Amber Electric,Wholesale Plan,0,/yr,Variable rates with no lock-in,Wholesale rates|Solar feed-in market rate|Variable rates|Daily supply: 105c|Usage: variable,https://amber.com.au/logo.png,#00CC99,https://amber.com.au/pricing,3.7,FALSE,FALSE"
"electricity,vic_amber_solar,Amber Electric,Amber Solar Plan,0,/yr,Higher solar feed-in,Wholesale rates|Solar feed-in market rate + premium|Variable rates|Daily supply: 105c|Usage: variable,https://amber.com.au/logo.png,#00CC99,https://amber.com.au/pricing,3.7,FALSE,TRUE"
"electricity,vic_alinta_home,Alinta Energy,Home Deal,1300,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 112c|Usage: 27c/kWh,https://alintaenergy.com.au/logo.png,#FF0000,https://alintaenergy.com.au/residential/plans,3.5,FALSE,FALSE"
"electricity,vic_alinta_solar,Alinta Energy,Solar Deal,1250,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 112c|Usage: 27c/kWh,https://alintaenergy.com.au/logo.png,#FF0000,https://alintaenergy.com.au/residential/plans,3.5,FALSE,TRUE"
"electricity,vic_engin_saver,ENGIE,Saver Plan,1280,/yr,Variable rates with no lock-in,10% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 108c|Usage: 27c/kWh,https://www.engie.com.au/logo.png,#009966,https://www.engie.com.au/plans,3.4,FALSE,FALSE"
"electricity,vic_engin_solar,ENGIE,Solar Plan,1230,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 108c|Usage: 27c/kWh,https://www.engie.com.au/logo.png,#009966,https://www.engie.com.au/plans,3.4,FALSE,TRUE"
"electricity,vic_energy_locals_online,Energy Locals,Online Member,0,/yr,Variable rates with no lock-in,Wholesale rates|Solar feed-in market rate|Variable rates|Daily supply: 105c|Usage: variable,https://energylocals.com.au/logo.png,#00CC66,https://energylocals.com.au/plans,3.8,FALSE,FALSE"
"electricity,vic_energy_locals_solar,Energy Locals,Solar Member,0,/yr,Higher solar feed-in,Wholesale rates|Solar feed-in market rate + premium|Variable rates|Daily supply: 105c|Usage: variable,https://energylocals.com.au/logo.png,#00CC66,https://energylocals.com.au/plans,3.8,FALSE,TRUE"
"electricity,vic_momentum_smile,Momentum Energy,SmilePower Flexi,1300,/yr,Variable rates with no lock-in,12% discount|Variable rates|Solar feed-in 3c/kWh|Daily supply: 110c|Usage: 28c/kWh,https://www.momentumenergy.com.au/logo.png,#FFCC00,https://www.momentumenergy.com.au/plans,3.6,FALSE,FALSE"
"electricity,vic_momentum_solar,Momentum Energy,Solar Step-Up,1250,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 110c|Usage: 28c/kWh,https://www.momentumenergy.com.au/logo.png,#FFCC00,https://www.momentumenergy.com.au/plans,3.6,FALSE,TRUE"
"electricity,vic_ovo_drive,OVO Energy,The EV Plan,0,/yr,Variable rates with no lock-in,EV charging credits|Variable rates|Solar feed-in 3c/kWh|Daily supply: 105c|Usage: 28c/kWh,https://ovoenergy.com.au/logo.png,#0099FF,https://ovoenergy.com.au/plans,3.5,FALSE,FALSE"
"electricity,vic_ovo_solar,OVO Energy,The Solar Plan,0,/yr,Higher solar feed-in,EV charging credits|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 105c|Usage: 28c/kWh,https://ovoenergy.com.au/logo.png,#0099FF,https://ovoenergy.com.au/plans,3.5,FALSE,TRUE"
"electricity,vic_nectr_clean,Nectr,Clean Plan,1300,/yr,Variable rates with no lock-in,12% discount|Green energy|Variable rates|Solar feed-in 3c/kWh|Daily supply: 110c|Usage: 28c/kWh,https://nectr.com.au/logo.png,#00CC99,https://nectr.com.au/plans,3.4,FALSE,TRUE"
"electricity,vic_nectr_solar,Nectr,Nectr Solar,1250,/yr,Higher solar feed-in,15% discount|Solar feed-in up to 6c/kWh|Variable rates|Daily supply: 110c|Usage: 28c/kWh,https://nectr.com.au/logo.png,#00CC99,https://nectr.com.au/plans,3.4,FALSE,TRUE"
"electricity,qld_agl_smartsaver,AGL,Smart Saver,1651,/yr,Great for families with no lock-in,16% less than reference|Daily supply: 133.73c|Usage: 28.43c/kWh|Solar feed-in 3c/kWh|Variable rates,https://upload.wikimedia.org/wikipedia/commons/4/4a/AGL_Energy_logo.svg,#ED0000,https://www.agl.com.au/residential/energy-plans,3.5,FALSE,FALSE"
