Category,Provider,Logo Link,Availability / Tech Note,Setup Fee,NBN 25 (promo/ongoing),NBN 50 (promo/ongoing),NBN 100 (promo/ongoing),NBN 500 (promo/ongoing),NBN 1000 (promo/ongoing),Other Charges / Notes
Mobile,amaysim,View Logo,Optus,Same as Optus,$0,"$12–$30/28d (prepaid); e.g., 32GB+ with bonuses; data rollover/pause",Flexible prepaid,,,
Mobile,Coles Mobile,View Logo,Optus,Same as Optus,$0,$20–$40/mo; rewards with Coles shopping,5G limited on some,,,
Mobile,Dodo,View Logo,Optus,Same as Optus,$0,$15/4mo then $30 → 40GB; $20/4mo then $40 → 80GB; unlimited data banking,Common heavy promos,,,
Mobile,Moose Mobile,View Logo,Optus,Same as Optus,$0,$12.4/6mo then $24.8 → 30GB; data banking 200GB,Budget-focused,,,
Mobile,Southern Phone,View Logo,Optus,Same as Optus,$0,$24–$29/mo → 20–40GB; regional focus,Community-oriented,,,
Mobile,SpinTel,View Logo,Optus,Same as Optus,$0,$14/6mo then $22 → 25GB; $29 → 50GB,NBN bundles,,,
Mobile,Vodafone,View Logo,Vodafone (full),Smaller rural; ~98.4% pop,$0,$39/mo (promo) → 60GB; intl roaming $5/day; throttled 2Mbps,Urban strong,,,
Mobile,Felix Mobile,View Logo,Vodafone,Same as Vodafone,$0,$20–$40/mo; unlimited data options on some,Modern plans,,,
Mobile,Kogan Mobile,View Logo,Vodafone,Same as Vodafone,$0,"$20–$45/mo; e.g., 50GB+",Tech retailer ties,,,
Mobile,Lebara,View Logo,Vodafone,Same as Vodafone,$0,$15–$40/mo; strong intl calls,Ethnic/international focus,,,
Mobile,TPG,View Logo,Vodafone,Same as Vodafone,$0,$17.5/6mo then $35 → 50GB; unlimited intl to 31 dest.,Broadband bundles,,,
Mobile,iiNet,View Logo,Vodafone,Same as Vodafone,$0,$25–$45/mo; similar to TPG (sibling),ISP ties,,,
Gas,AGL,View Logo,"NSW, VIC, SA, QLD, WA, ACT (most networks)",~75.61¢,3.11 – 4.83,"~$1,026","Dual-fuel discounts, bill credits, carbon offset options",,,
Gas,Origin Energy,View Logo,"NSW, VIC, SA, QLD, WA, ACT (most networks)",~80–95¢,3.00 – 5.00,"~$980–1,100","Everyday Rewards points, strong in WA/QLD",,,
Gas,EnergyAustralia,View Logo,"NSW, VIC, SA, ACT (most networks)",95.92¢,3.85 – 5.79,~$941,"Flexi Plan, dual-fuel bundle discounts",,,
Gas,Alinta Energy,View Logo,"NSW, VIC, QLD, SA, WA (strong in WA)",56.92¢,2.22 – 4.57,~$869 (often cheapest),"HomeDeal Select, frequent intro credits",,,
Gas,Lumo Energy,View Logo,"NSW, VIC, SA, SE QLD",~70–90¢,2.80 – 4.50,"~$900–1,050",2025 Most Satisfied dual-fuel winner,,,
Gas,Sumo,View Logo,"NSW, VIC",~65–85¢,2.90 – 4.80,"~$920–1,080","Simple plans, good value",,,
Gas,Red Energy,View Logo,"NSW, VIC, QLD, SA, ACT",82.5¢,2.66 – 3.94,~$961,"Living Energy Saver, top-rated in VIC/NSW",,,
Gas,Dodo,View Logo,"NSW, VIC, SA, SE QLD",~80–100¢,3.50 – 5.50,"~$1,000–1,150","Budget-focused, easy switching",,,
Gas,ENGIE (ex-Simply),View Logo,"NSW, VIC, SA, QLD",69.87¢,4.41 – 7.21,"~$1,173",NRMA partnership discounts,,,
Gas,Powershop,View Logo,"NSW, VIC, SA, SE QLD",85.31¢,4.12 (flat),"~$1,062","Power Offset (carbon), app-based",,,
Gas,Momentum Energy,View Logo,"VIC, NSW, SA, ACT",~75–95¢,3.20 – 5.00,"~$950–1,100",Competitive in VIC,,,
Gas,ActewAGL,View Logo,"ACT (Evoenergy network), some NSW",~70–90¢ (ACT higher),3.00 – 4.80,"~$1,000+","ACT-focused, reliable",,,
Gas,Kleenheat,View Logo,"WA (ATCO network), some others",~60–80¢ (WA),2.50 – 4.00 (WA),~$700–900 (WA),"Strong in WA, trusted brand",,,
Gas,1st Energy,View Logo,"VIC, NSW, SA",~80–100¢,3.40 – 5.20,"~$1,050–1,200",Budget options,,,
Gas,CovaU Energy,View Logo,"NSW, VIC, SA",~70–90¢,3.10 – 4.90,"~$950–1,100",Competitive rates,,,
Gas,Tango Energy,View Logo,"VIC, NSW, SA",~75–95¢,3.00 – 5.00,"~$980–1,150",Good intro offers,,,
Gas,GloBird Energy,View Logo,"VIC, NSW, SA",~80–100¢,3.50 – 5.50,"~$1,050–1,200",Green energy focus,,,
Gas,Energy Locals,View Logo,"NSW, VIC, SA, QLD",~70–90¢,3.20 – 4.80,"~$950–1,100",Community/local feel,,,
Gas,OVO Energy,View Logo,"NSW, VIC, SA",~75–95¢,3.30 – 5.10,"~$1,000–1,150",Tech/app-focused,,,
Gas,Aurora Energy,View Logo,"TAS (limited gas zones), some others",~80–110¢ (TAS),3.50 – 6.00 (TAS),"~$1,100+",Main TAS provider,,,
Electricity,Provider,Sydney (2000) SC / UR,Melb (3000) SC / UR,Bris (4000) SC / UR,Adelaide (5000) SC / UR,Perth (6000) SC / UR,2026 Features & Current Offers,,,
Electricity,Origin Energy,108c / 32c,102c / 26c,124c / 33c,112c / 42c,N/A,"$200 Bill Credit (Online sign-up); 5,000 Everyday Rewards pts.",,,
Electricity,AGL Energy,92c / 34c,89c / 25c,121c / 29c,100c / 52c,N/A,Netflix Standard included; $100 sign-up bonus.,,,
Electricity,OVO Energy,105c / 29c,92c / 24c,115c / 31c,108c / 38c,N/A,"""The Free 3"": $0 usage from 11am–2pm daily; 3% interest on credit.",,,
Electricity,GloBird,109c / 29c,95c / 23c,118c / 28c,115c / 36c,N/A,Lowest Usage (VIC); 3% Pay-on-time discount; Carbon Neutral.,,,
Electricity,Amber Electric,82c / 27c*,85c / 22c*,90c / 26c*,95c / 35c*,N/A,Wholesale Pass-through: Best for EV/Batteries; $15–$20 sub fee.,,,
Electricity,Red Energy,88c / 34c,121c / 35c,128c / 32c,118c / 43c,N/A,Qantas Points: Earn 2 pts per $1 spent; Owned by Snowy Hydro.,,,
Electricity,Alinta Energy,110c / 31c,104c / 27c,120c / 28c,110c / 44c,108c / 31c,Dual-fuel discounts; Market leader in WA contestability.,,,
Electricity,EnergyAust.,101c / 37c,108c / 31c,114c / 34c,121c / 46c,N/A,Flexi Plan: $100 bonus credit; High stability for renters.,,,
Electricity,Dodo Power,131c / 26c,131c / 26c,131c / 26c,131c / 26c,N/A,Flat SC/UR: Consistent rates across states; Bundling deals.,,,
Electricity,Diamond Energy,77c / 33c,85c / 28c,105c / 31c,110c / 41c,N/A,Lowest Supply (NSW); High-ranked for sustainability/renewables.,,,
Electricity,Powershop,88c / 34c,95c / 26c,122c / 30c,114c / 41c,N/A,Powerpacks: Buy energy in advance to secure lower rates.,,,
Electricity,Nectr,112c / 35c,105c / 28c,118c / 33c,120c / 42c,N/A,Fixed rates for 12 months; No move-in fees.,,,
Electricity,Tango Energy,109c / 33c,101c / 25c,116c / 30c,112c / 40c,N/A,Simple low-rate structure; owned by Pacific Blue.,,,
Electricity,Synergy,N/A,N/A,N/A,N/A,102c / 29c,Regulated (WA): Standard Home Plan; No retail competition.,,,
